frameindex,frametime,cputime,culltime,gputime,draws,tris,
1758,11110.000000,2295.699951,1772.699951,8987.900391,2762,35765752,
1759,11042.400391,2206.500000,1697.599976,9009.400391,2757,35753208,
1760,11140.099609,2284.399902,1770.199951,9046.500000,2759,33580292,
1761,10957.000000,2191.800049,1715.400024,8940.700195,2786,36627588,
1762,11114.900391,2332.899902,1802.400024,8967.400391,2799,36622532,
1763,10993.599609,2244.199951,1772.300049,8920.099609,2784,36602500,
1764,10710.500000,2251.399902,1727.900024,8641.700195,2781,36594244,
1765,11029.099609,2308.000000,1740.599976,8918.700195,2775,36612996,
1766,10859.099609,2246.100098,1732.500000,8784.400391,2794,36778628,
1767,10813.900391,2267.500000,1790.900024,8729.900391,2827,36758788,
1768,11128.000000,2290.600098,1789.000000,9015.299805,2872,36647044,
1769,11042.700195,2269.300049,1768.000000,8941.500000,2840,39717316,
1770,11314.200195,2265.199951,1767.199951,9241.900391,2847,39315396,
1771,10999.799805,2307.699951,1785.800049,8877.599609,2819,39097476,
1772,10898.200195,2303.199951,1776.500000,8786.000000,2843,39098244,
1773,10850.799805,2367.300049,1835.599976,8656.599609,2853,39192196,
1774,10992.200195,2250.300049,1750.000000,8915.900391,2847,39191172,
1775,11110.299805,2308.800049,1817.400024,8987.900391,2881,39211460,
1776,11099.900391,2312.100098,1789.500000,8972.500000,2914,39272580,
1777,10959.500000,2304.899902,1809.400024,8846.900391,2889,39368996,
1778,10897.900391,2274.000000,1803.599976,8783.099609,2874,39248292,
1779,11103.500000,2324.199951,1802.800049,8958.299805,2893,36609593,
1780,11101.000000,2306.899902,1806.099976,8974.700195,2896,36384548,
1781,11341.799805,2374.800049,1834.500000,9163.200195,2899,36436068,
1782,11266.200195,2360.399902,1867.800049,9087.099609,2884,36508580,
1783,11316.000000,2388.100098,1880.300049,9103.400391,2868,36478404,
1784,11005.799805,2367.600098,1820.699951,8835.299805,2845,33709072,
1785,11028.599609,2374.899902,1900.400024,8824.500000,2865,33544784,
1786,11460.700195,2490.399902,1982.400024,9168.799805,2910,33537808,
1787,11080.000000,2388.899902,1895.300049,8870.099609,2897,33493200,
1788,11344.500000,2376.899902,1869.699951,9163.799805,2908,33779952,
1789,11248.200195,2353.500000,1850.699951,9074.799805,2916,36564400,
1790,10952.000000,2311.100098,1809.699951,8826.500000,2953,36642437,
1791,11494.799805,2413.199951,1862.500000,9293.099609,2953,36514864,
1792,11013.500000,2361.899902,1844.400024,8853.799805,2942,36642416,
1793,11168.099609,2457.399902,1929.500000,8902.000000,2958,36688880,
1794,10903.700195,2345.800049,1823.300049,8766.500000,2944,36768112,
1795,11062.299805,2351.699951,1867.300049,8882.500000,2939,39666128,
1796,11330.000000,2363.300049,1830.199951,9159.200195,2952,39668048,
1797,11032.000000,2343.199951,1875.400024,8864.400391,2969,40014992,
1798,11552.200195,2540.199951,1977.400024,9211.400391,2984,40117072,
1799,11330.000000,2412.500000,1882.400024,9112.700195,2984,39951312,
1800,11112.700195,2474.500000,1950.099976,8819.900391,2971,36928272,
1801,11383.700195,2467.300049,1916.400024,9111.500000,2965,37002960,
1802,11285.799805,2445.899902,1906.099976,9029.000000,2972,36910352,
1803,10938.400391,2418.500000,1908.500000,8711.099609,2978,37428090,
1804,11086.299805,2427.199951,1890.000000,8866.500000,2978,37284794,
1805,11031.099609,2330.000000,1824.099976,8894.599609,2972,34530522,
1806,11118.900391,2396.699951,1901.599976,8909.900391,2973,34776602,
1807,11400.599609,2533.100098,2012.800049,9067.599609,3001,34740698,
1808,11239.799805,2506.399902,1930.000000,8961.799805,2997,34482309,
1809,11309.200195,2429.199951,1918.699951,9061.400391,2971,34189872,
1810,10995.500000,2373.899902,1857.800049,8818.400391,3037,34321680,
1811,11282.200195,2420.800049,1909.800049,9046.500000,3043,34236912,
1812,11203.599609,2447.300049,1905.599976,8959.400391,3071,34286661,
1813,11125.700195,2423.500000,1914.099976,8897.299805,3123,33990896,
1814,11260.500000,2434.699951,1905.000000,9024.400391,3125,34207152,
1815,11055.900391,2436.699951,1936.500000,8802.299805,3115,34166896,
1816,11429.400391,2609.100098,2031.900024,9015.799805,3110,34444240,
