frameindex,frametime,cputime,culltime,gputime,draws,tris,
5308,14814.599609,2630.300049,2113.300049,12382.700195,2566,63049597,
5309,15306.700195,2780.399902,2245.699951,12695.700195,2582,63462482,
5310,14947.200195,2619.100098,2105.899902,12495.299805,2586,63713724,
5311,14887.200195,2664.899902,2189.699951,12379.200195,2553,63992166,
5312,14777.599609,2656.300049,2164.899902,12297.099609,2550,63720828,
5313,14659.799805,2693.199951,2219.300049,12130.099609,2559,63712380,
5314,14765.200195,2599.699951,2087.699951,12340.099609,2550,64292432,
5315,14545.900391,2557.500000,2108.500000,12151.599609,2609,64248976,
5316,14703.099609,2621.199951,2128.899902,12260.700195,2610,64054246,
5317,14846.500000,2551.699951,2072.100098,12467.099609,2552,60391378,
5318,14938.500000,2503.399902,2019.800049,12607.400391,2528,60405394,
5319,14893.599609,2516.800049,2007.800049,12557.500000,2525,60414914,
5320,14944.700195,2589.899902,2089.199951,12519.700195,2562,60317170,
5321,14529.700195,2522.899902,2052.300049,12168.700195,2591,60499986,
