frameindex,frametime,cputime,culltime,gputime,draws,tris,
1255,14319.000000,2761.800049,2285.600098,11730.599609,2355,15050966,
1256,14395.900391,2926.399902,2449.399902,11639.900391,2358,15108566,
1257,14522.400391,2845.699951,2410.500000,11847.799805,2345,15128289,
1258,14582.299805,2920.300049,2493.399902,11827.599609,2326,14778225,
1259,14213.900391,2851.199951,2387.600098,11539.900391,2337,14987569,
1260,14407.400391,3073.500000,2613.000000,11501.400391,2359,14997169,
1261,14229.299805,2917.500000,2484.399902,11467.000000,2356,14947521,
1262,14450.200195,2937.600098,2490.899902,11674.200195,2365,14997809,
1263,14411.599609,2923.500000,2441.199951,11670.400391,2363,14991313,
1264,14513.900391,2884.399902,2404.300049,11807.799805,2352,14468962,
1265,14542.400391,2882.100098,2442.699951,11830.700195,2362,14288866,
1266,14667.599609,2942.800049,2498.399902,11885.000000,2323,14255458,
1267,14368.599609,2770.600098,2314.899902,11761.700195,2323,14118306,
1268,14368.299805,2762.199951,2321.199951,11758.700195,2352,14161586,
1269,14654.700195,2796.000000,2345.800049,12025.299805,2352,14143282,
1270,14494.799805,2817.699951,2337.399902,11859.400391,2342,15696167,
1271,14234.799805,2817.199951,2305.800049,11591.299805,2347,15522119,
1272,14323.099609,2757.699951,2315.899902,11723.599609,2363,15459511,
1273,14276.400391,2909.199951,2459.500000,11539.900391,2322,15469831,
1274,14203.500000,2756.500000,2314.600098,11604.000000,2342,15231074,
1275,14369.099609,2952.399902,2508.899902,11592.200195,2352,15229202,
1276,14619.799805,2859.000000,2396.899902,11947.900391,2325,15034669,
1277,14238.700195,2702.000000,2248.899902,11713.000000,2315,15006973,
1278,14328.900391,2766.500000,2308.300049,11722.000000,2283,14894749,
1279,14234.000000,2714.600098,2285.100098,11682.200195,2301,14918493,
1280,14302.099609,2750.699951,2319.500000,11720.599609,2301,14883085,
1281,14575.000000,2812.500000,2372.899902,11924.700195,2273,14902013,
1282,14423.900391,2741.800049,2300.399902,11851.299805,2300,14943613,
1283,14226.299805,2804.699951,2370.600098,11581.599609,2301,13418653,
1284,13995.200195,2786.000000,2351.500000,11379.700195,2288,13281613,
1285,14404.799805,2861.899902,2410.199951,11722.900391,2281,13033912,
1286,14222.400391,2763.399902,2321.500000,11629.299805,2268,13013565,
1287,14301.700195,2803.300049,2392.600098,11646.200195,2275,12701715,
1288,14096.799805,2772.699951,2334.199951,11486.200195,2271,12580755,
1289,14006.400391,2720.100098,2276.000000,11446.299805,2296,15832323,
1290,14345.200195,2843.899902,2415.399902,11658.299805,2329,15718787,
1291,14585.799805,2861.500000,2443.899902,11874.500000,2341,15863768,
1292,15059.200195,2926.300049,2487.600098,12300.900391,2338,16043032,
1293,14482.000000,2777.399902,2320.500000,11872.299805,2308,15068189,
1294,14531.599609,2783.199951,2327.699951,11919.400391,2307,15046301,
1295,14262.799805,2722.699951,2289.600098,11689.400391,2276,15134637,
1296,14575.400391,2766.399902,2297.800049,11979.799805,2270,16544013,
1297,14466.200195,2727.199951,2254.000000,11895.400391,2277,16963474,
1298,14553.799805,2782.500000,2340.000000,11940.000000,2281,17000722,
1299,14643.700195,2804.600098,2326.800049,12003.900391,2275,15209725,
1300,14267.900391,2788.899902,2347.899902,11643.599609,2262,16501612,
1301,14224.099609,2733.199951,2323.100098,11638.799805,2258,15105340,
1302,14563.000000,2824.199951,2354.600098,11911.400391,2237,15249532,
1303,14605.700195,2733.699951,2280.199951,12037.799805,2266,16692566,
1304,14659.900391,2778.699951,2305.199951,12055.799805,2267,16605526,
1305,14517.000000,2695.500000,2244.000000,11991.799805,2279,16635307,
1306,14546.500000,2748.000000,2296.500000,11960.200195,2268,15252113,
1307,14416.200195,2777.699951,2349.199951,11795.500000,2258,16194327,
1308,14289.299805,2760.600098,2336.500000,11687.900391,2264,15955191,
1309,14443.099609,2756.100098,2339.600098,11838.700195,2258,15768226,
1310,14554.599609,2710.000000,2269.199951,12006.700195,2268,15641426,
1311,14710.200195,2683.800049,2237.899902,12205.000000,2253,17251798,
1312,14735.299805,2739.000000,2299.300049,12154.799805,2258,17254870,
1313,14872.000000,2830.600098,2395.199951,12202.599609,2253,17258262,
1314,15028.400391,2906.699951,2461.500000,12284.099609,2240,17345430,
1315,14726.799805,2838.600098,2416.100098,12040.400391,2222,18946758,
1316,14707.700195,2807.300049,2368.300049,12063.299805,2220,17763964,
1317,14715.200195,2892.899902,2470.199951,11987.700195,2229,17972198,
1318,14759.700195,2676.100098,2243.699951,12240.599609,2224,16208588,
1319,14999.299805,2767.000000,2324.399902,12409.599609,2225,14706780,
1320,14813.200195,2696.199951,2261.199951,12290.900391,2246,14964860,
1321,14758.299805,2764.000000,2311.000000,12162.099609,2243,16317996,
1322,14991.700195,2838.800049,2368.500000,12322.000000,2221,17727388,
1323,14877.299805,2823.300049,2367.000000,12216.799805,2177,16064428,
1324,14609.700195,2768.500000,2343.300049,12016.400391,2167,16429078,
1325,14714.200195,2844.699951,2408.100098,12033.200195,2165,16974592,
1326,14984.400391,2932.100098,2483.699951,12218.200195,2194,18835312,
1327,15424.000000,2918.199951,2486.000000,12680.099609,2187,17387264,
1328,15220.599609,2859.399902,2414.100098,12531.900391,2172,17213440,
1329,15490.099609,2832.199951,2410.300049,12825.500000,2171,17327360,
1330,15057.900391,2915.699951,2467.399902,12314.900391,2187,18453707,
1331,15052.000000,2998.399902,2552.100098,12217.700195,2219,18293003,
1332,15093.400391,2875.100098,2446.300049,12379.799805,2202,17892406,
1333,15137.000000,2908.199951,2467.899902,12391.900391,2156,17789366,
1334,15191.000000,2873.699951,2438.399902,12478.299805,2142,19930553,
1335,15146.000000,2903.000000,2493.300049,12389.700195,2129,19761609,
1336,15296.299805,2875.899902,2464.600098,12573.900391,2129,18386671,
1337,14978.299805,2743.800049,2283.300049,12408.099609,2130,18415215,
1338,15468.500000,2866.300049,2399.300049,12783.900391,2104,18605999,
1339,15125.799805,2831.399902,2389.500000,12457.700195,2069,17243178,
1340,15287.700195,2951.699951,2513.399902,12488.900391,2006,17199978,
1341,15275.299805,2907.800049,2510.000000,12509.400391,2005,17120725,
1342,15122.400391,2754.600098,2326.300049,12520.599609,1978,16958853,
1343,15204.299805,2823.899902,2395.699951,12551.700195,1959,16944645,
1344,15452.700195,2923.699951,2511.199951,12685.000000,1949,17027365,
1345,15636.799805,2983.100098,2544.300049,12809.500000,1916,17015701,
1346,15688.000000,3053.600098,2625.699951,12795.099609,1926,16876501,
1347,15514.900391,2789.100098,2391.399902,12888.599609,1896,16787285,
1348,15585.700195,2892.300049,2491.100098,12840.299805,1895,16772245,
1349,15635.400391,2926.199951,2489.399902,12866.000000,1910,17024554,
1350,15388.299805,2757.600098,2362.399902,12780.799805,1850,17031658,
1351,15898.299805,2838.000000,2374.000000,13213.000000,1940,17967919,
1352,15557.799805,2758.100098,2327.399902,12957.599609,1940,18049327,
1353,15686.299805,2732.500000,2310.699951,13110.700195,1990,17732165,
1354,15762.200195,2827.899902,2373.000000,13103.000000,1984,17516869,
1355,15600.299805,2759.199951,2337.399902,12991.700195,1991,17544389,
1356,15617.700195,2800.899902,2358.899902,12963.099609,2001,17589061,
1357,15774.299805,3037.199951,2584.100098,12897.799805,2004,17574981,
1358,15755.599609,2860.500000,2420.600098,13042.400391,2032,17704837,
